 C:\WinTA100\DIL805.PRO\Data\Quenching\2_Isabelle_CQ60_Homogeneizado_30min_06.06.17.PAR
                Time - rel. Change in Length /  Temperature  /  Nominal Temperature 
                  s                %                    °C                    °C
   110         2.75885892       -0.00135905       26.75465202       27.57675934
   111         2.78395510        0.00042637       26.65052795       27.82768059
   112         2.80899596       -0.00111921       27.20576668       28.07796097
   113         2.83407307        0.00015989       27.39618874       28.32879066
   114         2.85912108        0.00037307       27.66038322       28.57916069
   115         2.88420796        0.00005330       28.10293961       28.83004951
   116         2.90928793        0.00149229       28.61565590       29.08102036
   117         2.93437099        0.00058626       28.95056915       29.33171082
   118         2.95946598        0.00282469       29.24458122       29.58280945
   119         2.98451304        0.00111922       29.15537834       29.83320999
   120         3.00958705        0.00245161       29.74526596       30.08384895
   121         3.03467488        0.00287798       30.19042969       30.33485794
   122         3.05977702        0.00285133       30.43837738       30.58585930
   123         3.08481908        0.00405049       30.62783623       30.83626938
   124         3.10987806        0.00301122       30.95125008       31.08688164
   125         3.13490391        0.00524965       31.38217926       31.33724976
   126         3.16003609        0.00373072       31.70628929       31.58808899
   127         3.18510795        0.00583591       32.02865601       31.83913994
   128         3.21016598        0.00506312       32.33377457       32.08969116
   129         3.23522806        0.00572931       32.44430161       32.34045029
   130         3.26027799        0.00636887       32.76921082       32.59075928
   131         3.28534603        0.00602244       32.69681549       32.84157181
   132         3.31040812        0.00796774       33.18959808       33.09217834
   133         3.33547306        0.00647546       33.43444061       33.34278107
   134         3.36050010        0.00863394       33.80084610       33.59313202
   135         3.38559198        0.00724825       34.01777267       33.84407806
   136         3.41068506        0.00866059       34.02355957       34.09486008
   137         3.43575501        0.00868724       34.49647903       34.34569931
   138         3.46085811        0.00842076       34.91654205       34.59670258
   139         3.48589396        0.00975316       35.02372742       34.84704971
   140         3.51100898        0.00868724       35.25308228       35.09820938
   141         3.53610706        0.01092567       35.57605743       35.34914017
   142         3.56115603        0.00903366       35.87737274       35.59957886
   143         3.58620596        0.01031276       35.73897552       35.85015106
   144         3.61134291        0.01020617       36.05166245       36.10155106
   145         3.63640404        0.01100561       36.31794739       36.35195923
   146         3.66147900        0.01175176       36.55543518       36.60282898
   147         3.68656492        0.01103226       36.79431915       36.85375977
   148         3.71166611        0.01332398       37.22410965       37.10462189
   149         3.73670292        0.01212483       37.41505814       37.35514069
   150         3.76174688        0.01359046       37.78681183       37.60557938
   151         3.78682303        0.01271108       37.73688507       37.85625839
   152         3.81182790        0.01353717       38.00914001       38.10636139
   153         3.83695006        0.01396354       38.23735428       38.35757828
   154         3.86201692        0.01308415       38.44688416       38.60816956
   155         3.88707304        0.01545582       38.80756760       38.85881805
   156         3.91212893        0.01385694       39.04383087       39.10937119
   157         3.93722606        0.01596214       39.22112274       39.36029816
   158         3.96234488        0.01502945       39.82311630       39.61149979
   159         3.98743796        0.01644180       40.09180069       39.86248016
   160         4.01249886        0.01577560       40.15736008       40.11306763
   161         4.03757286        0.01612202       40.30733871       40.36377716
   162         4.06266499        0.01718794       40.62687683       40.61479187
   163         4.08775616        0.01609537       40.86822128       40.86574936
   164         4.11287689        0.01846704       41.05469894       41.11677170
   165         4.13793421        0.01686816       41.32118607       41.36746979
   166         4.16301394        0.01854699       41.72271729       41.61831665
   167         4.18805790        0.01830715       41.99449158       41.86862183
   168         4.21308994        0.01846704       42.18202972       42.11903000
   169         4.23820496        0.01963955       42.40380096       42.37002945
   170         4.26327181        0.01907995       42.55604553       42.62069321
   171         4.28830719        0.02094530       42.73504639       42.87110901
   172         4.31335402        0.01963955       43.10680008       43.12145996
   173         4.33840322        0.02153156       43.45568085       43.37211227
   174         4.36346197        0.02041234       43.63166046       43.62276077
   175         4.38858604        0.02126508       43.83135605       43.87393951
   176         4.41363478        0.02201122       44.09630966       44.12445068
   177         4.43869495        0.02153156       44.59424973       44.37513733
   178         4.46374416        0.02313044       44.69479752       44.62553024
   179         4.48882818        0.02169145       44.99037170       44.87636185
   180         4.51392317        0.02392988       45.29255676       45.12731934
   181         4.53901911        0.02294390       45.68810654       45.37821960
   182         4.56409407        0.02419636       45.73190308       45.62888336
   183         4.58920002        0.02353016       45.87303543       45.87999725
   184         4.61427689        0.02400982       46.04072571       46.13090897
   185         4.63934278        0.02539552       46.49061203       46.38150024
   186         4.66442823        0.02424965       46.59340286       46.63235092
   187         4.68948698        0.02608836       47.00027084       46.88291168
   188         4.71457291        0.02491585       47.28879929       47.13373184
   189         4.73970318        0.02686115       47.25782776       47.38508224
   190         4.76477098        0.02616831       47.72895813       47.63578796
   191         4.78982592        0.02683450       47.65587997       47.88629150
   192         4.81491804        0.02726087       48.20490265       48.13724136
   193         4.84004307        0.02694110       48.46889877       48.38851166
   194         4.86510181        0.02840674       48.74655533       48.63907623
   195         4.89012003        0.02707434       48.63041687       48.88927841
   196         4.91518307        0.02901964       49.16305923       49.13998032
   197         4.94030714        0.02808696       49.23591614       49.39106750
   198         4.96538591        0.02944601       49.74002838       49.64186096
   199         4.99046183        0.02963254       50.12456512       49.89276123
   200         5.01550817        0.02901964       50.13276672       50.14327240
   201         5.04059410        0.03048528       50.16501617       50.39396667
   202         5.06564903        0.02992567       50.38194275       50.64457703
   203         5.09073496        0.03160449       50.98115540       50.89543915
   204         5.11576509        0.03056522       51.44422531       51.14556885
   205         5.14087677        0.03192427       51.46793365       51.39688110
   206         5.16591978        0.03152455       51.58926010       51.64728165
   207         5.19100189        0.03184432       52.07427597       51.89786911
   208         5.21607304        0.03299018       52.24828720       52.14891052
   209         5.24110889        0.03205751       52.45434189       52.39925766
   210         5.26619387        0.03402946       52.60456848       52.64993286
