 C:\WinTA100\DIL805.PRO\Data\Quenching\01_Pierre_CCT_0,15oCs-1_01.31.18.PAR
                Time - rel. Change in Length /  Temperature  /  Nominal Temperature 
                  s                %                    °C                    °C
  2427      1205.75756836        0.74315602      822.66784668      822.63653564
  2428      1209.09106445        0.74160665      822.02526855      822.13653564
  2429      1212.42504883        0.74083197      821.62213135      821.63641357
  2430      1215.75830078        0.73937196      821.07629395      821.13641357
  2431      1219.09167480        0.73803121      820.59680176      820.63641357
  2432      1222.42553711        0.73642224      820.15399170      820.13635254
  2433      1225.75976563        0.73505163      819.69818115      819.63623047
  2434      1229.09387207        0.73391938      819.17443848      819.13610840
  2435      1232.42761230        0.73278719      818.71307373      818.63604736
  2436      1235.76123047        0.73129743      818.06738281      818.13598633
  2437      1239.09521484        0.72989702      817.63629150      817.63592529
  2438      1242.42919922        0.72876477      817.16589355      817.13580322
  2439      1245.76330566        0.72718561      816.50903320      816.63568115
  2440      1249.09655762        0.72548735      816.10241699      816.13568115
  2441      1252.42993164        0.72393805      815.70446777      815.63568115
  2442      1255.76318359        0.72235876      815.07928467      815.13568115
  2443      1259.09692383        0.72125632      814.63232422      814.63562012
  2444      1262.43054199        0.71979636      814.06341553      814.13555908
  2445      1265.76379395        0.71860468      813.62628174      813.63562012
  2446      1269.09741211        0.71747237      813.05859375      813.13555908
  2447      1272.43176270        0.71636993      812.56353760      812.63543701
  2448      1275.76501465        0.71520793      812.02825928      812.13543701
  2449      1279.09899902        0.71356916      811.50982666      811.63531494
  2450      1282.43273926        0.71160269      811.10546875      811.13525391
  2451      1285.76721191        0.71032149      810.81341553      810.63513184
  2452      1289.10107422        0.70951700      810.20288086      810.13500977
  2453      1292.43518066        0.70859343      809.60937500      809.63488770
  2454      1295.76953125        0.70665663      809.12585449      809.13476563
  2455      1299.10266113        0.70537549      808.64324951      808.63476563
  2456      1302.43676758        0.70448160      808.10198975      808.13464355
  2457      1305.77014160        0.70281309      807.60260010      807.63464355
  2458      1309.10449219        0.70141268      807.21600342      807.13452148
  2459      1312.43823242        0.70063800      806.75897217      806.63446045
  2460      1315.77209473        0.69896942      806.13745117      806.13439941
  2461      1319.10522461        0.69774783      805.67810059      805.63439941
  2462      1322.43933105        0.69685394      805.05517578      805.13427734
  2463      1325.77331543        0.69497687      804.75164795      804.63421631
  2464      1329.10729980        0.69369566      804.13909912      804.13409424
  2465      1332.44042969        0.69232506      803.61328125      803.63409424
  2466      1335.77380371        0.69125247      803.20489502      803.13409424
  2467      1339.10717773        0.68931580      802.55230713      802.63409424
  2468      1342.44140625        0.68818355      802.22583008      802.13397217
  2469      1345.77563477        0.68717051      801.71923828      801.63385010
  2470      1349.10974121        0.68544239      800.98895264      801.13372803
  2471      1352.44360352        0.68401217      800.68713379      800.63366699
  2472      1355.77685547        0.68270117      800.21887207      800.13366699
  2473      1359.11083984        0.68207550      799.74798584      799.63354492
  2474      1362.44445801        0.68061548      799.21850586      799.13348389
  2475      1365.77783203        0.67900658      798.62963867      798.63348389
  2476      1369.11193848        0.67733794      798.24877930      798.13342285
  2477      1372.44543457        0.67608660      797.74591064      797.63336182
  2478      1375.77954102        0.67537147      797.09747314      797.13323975
  2479      1379.11315918        0.67373282      796.43231201      796.63323975
  2480      1382.44702148        0.67266011      796.09631348      796.13311768
  2481      1385.78063965        0.67078304      795.68560791      795.63305664
  2482      1389.11425781        0.67021698      795.10430908      795.13305664
  2483      1392.44812012        0.66878670      794.71063232      794.63293457
  2484      1395.78198242        0.66673088      794.06262207      794.13287354
  2485      1399.11608887        0.66589659      793.58569336      793.63275146
  2486      1402.45007324        0.66419822      793.23034668      793.13269043
  2487      1405.78405762        0.66333419      792.56872559      792.63256836
  2488      1409.11840820        0.66157627      792.14746094      792.13244629
  2489      1412.45190430        0.66056323      791.43420410      791.63238525
  2490      1415.78552246        0.65910327      791.16998291      791.13238525
  2491      1419.11950684        0.65841794      790.59851074      790.63226318
  2492      1422.45275879        0.65639186      789.96746826      790.13226318
  2493      1425.78625488        0.65475315      789.64166260      789.63226318
  2494      1429.11975098        0.65433598      789.15124512      789.13220215
  2495      1432.45410156        0.65251851      788.43237305      788.63208008
  2496      1435.78747559        0.65105850      788.13360596      788.13208008
  2497      1439.12060547        0.64995605      787.61322021      787.63208008
  2498      1442.45385742        0.64870465      787.05566406      787.13208008
  2499      1445.78784180        0.64638066      786.59857178      786.63201904
  2500      1449.12097168        0.64566559      786.14245605      786.13201904
  2501      1452.45471191        0.64503980      785.64813232      785.63195801
  2502      1455.78869629        0.64355016      785.12670898      785.13189697
  2503      1459.12207031        0.64217949      784.61248779      784.63189697
  2504      1462.45520020        0.64137501      783.94097900      784.13189697
  2505      1465.78942871        0.63952774      783.63262939      783.63177490
  2506      1469.12268066        0.63839543      783.12536621      783.13177490
  2507      1472.45703125        0.63705468      782.64550781      782.63165283
  2508      1475.79016113        0.63586289      782.29547119      782.13165283
  2509      1479.12365723        0.63410497      781.61242676      781.63165283
  2510      1482.45727539        0.63261515      781.05383301      781.13159180
  2511      1485.79052734        0.63210863      780.50415039      780.63159180
  2512      1489.12377930        0.63055933      780.26696777      780.13159180
  2513      1492.45812988        0.62880135      779.74401855      779.63146973
  2514      1495.79235840        0.62847364      779.11535645      779.13134766
  2515      1499.12609863        0.62659657      778.73620605      778.63128662
  2516      1502.45959473        0.62549412      778.17272949      778.13122559
  2517      1505.79382324        0.62421286      777.63366699      777.63110352
  2518      1509.12744141        0.62236553      777.25836182      777.13104248
  2519      1512.46154785        0.62156111      776.52642822      776.63098145
  2520      1515.79541016        0.61977339      776.13024902      776.13085938
  2521      1519.12963867        0.61902845      775.49487305      775.63073730
  2522      1522.46301270        0.61762810      775.30029297      775.13073730
  2523      1525.79614258        0.61637670      774.52215576      774.63073730
  2524      1529.12963867        0.61512536      774.18121338      774.13073730
  2525      1532.46289063        0.61348653      773.55407715      773.63073730
  2526      1535.79724121        0.61253309      773.22955322      773.13061523
  2527      1539.13061523        0.61143064      772.85595703      772.63061523
  2528      1542.46472168        0.60973233      772.08355713      772.13049316
  2529      1545.79895020        0.60851067      771.62518311      771.63037109
  2530      1549.13220215        0.60725927      771.19006348      771.13037109
  2531      1552.46533203        0.60576963      770.63909912      770.63037109
  2532      1555.79882813        0.60448831      770.00775146      770.13037109
  2533      1559.13305664        0.60302836      769.64276123      769.63024902
  2534      1562.46606445        0.60231328      769.24029541      769.13024902
  2535      1565.80029297        0.60025740      768.71801758      768.63012695
  2536      1569.13464355        0.59927416      768.19659424      768.13000488
  2537      1572.46777344        0.59754598      767.60644531      767.63000488
  2538      1575.80114746        0.59703946      767.18914795      767.13000488
  2539      1579.13452148        0.59534121      766.67749023      766.63000488
  2540      1582.46887207        0.59513259      766.05773926      766.12988281
  2541      1585.80212402        0.59304696      765.65490723      765.62988281
  2542      1589.13623047        0.59137839      765.17230225      765.12976074
  2543      1592.47045898        0.59045470      764.65496826      764.62963867
  2544      1595.80456543        0.58875638      764.22479248      764.12951660
  2545      1599.13781738        0.58786261      763.70880127      763.62951660
  2546      1602.47131348        0.58640260      763.10791016      763.12945557
  2547      1605.80493164        0.58544916      762.61285400      762.62945557
  2548      1609.13903809        0.58404875      762.17340088      762.12933350
  2549      1612.47302246        0.58261853      761.62097168      761.62921143
  2550      1615.80639648        0.58199286      761.07470703      761.12921143
  2551      1619.14050293        0.58029449      760.70147705      760.62908936
  2552      1622.47460938        0.57913250      760.06457520      760.12902832
  2553      1625.80773926        0.57728517      759.56024170      759.62902832
  2554      1629.14135742        0.57645094      759.18280029      759.12896729
  2555      1632.47570801        0.57487178      758.53948975      758.62884521
  2556      1635.80969238        0.57329261      758.14318848      758.12872314
  2557      1639.14343262        0.57299465      757.60162354      757.62866211
  2558      1642.47680664        0.57076007      757.13421631      757.12866211
  2559      1645.81066895        0.56959802      756.64550781      756.62860107
  2560      1649.14416504        0.56903189      756.05645752      756.12854004
  2561      1652.47814941        0.56691635      755.66381836      755.62847900
  2562      1655.81152344        0.56578422      754.99420166      755.12847900
  2563      1659.14489746        0.56444335      754.67449951      754.62847900
  2564      1662.47814941        0.56241733      754.23718262      754.12847900
  2565      1665.81176758        0.56211936      753.58111572      753.62841797
  2566      1669.14514160        0.56030184      753.20135498      753.12841797
  2567      1672.47875977        0.55964637      752.58593750      752.62835693
  2568      1675.81311035        0.55779898      752.29327393      752.12823486
  2569      1679.14648438        0.55675620      751.63739014      751.62823486
  2570      1682.48046875        0.55449170      751.03338623      751.12811279
  2571      1685.81372070        0.55425346      750.65838623      750.62811279
  2572      1689.14782715        0.55228686      750.24914551      750.12799072
  2573      1692.48229980        0.55139303      749.61279297      749.62786865
  2574      1695.81616211        0.54984367      749.14276123      749.12774658
  2575      1699.14953613        0.54889017      748.73632813      748.62774658
  2576      1702.48339844        0.54814529      748.14215088      748.12768555
  2577      1705.81738281        0.54597026      747.65179443      747.62756348
  2578      1709.15185547        0.54546374      747.26928711      747.12744141
  2579      1712.48583984        0.54370582      746.58648682      746.62731934
  2580      1715.81970215        0.54245442      746.22613525      746.12725830
  2581      1719.15368652        0.54138184      745.59680176      745.62713623
  2582      1722.48779297        0.53995156      744.99371338      745.12701416
  2583      1725.82104492        0.53929603      744.76226807      744.62701416
  2584      1729.15502930        0.53688264      743.96087646      744.12695313
  2585      1732.48913574        0.53589946      743.59051514      743.62683105
  2586      1735.82324219        0.53515452      743.11962891      743.12670898
  2587      1739.15698242        0.53327751      742.61181641      742.62664795
  2588      1742.49047852        0.53214520      742.00177002      742.12664795
  2589      1745.82397461        0.53104275      741.55096436      741.62658691
  2590      1749.15820313        0.52916569      741.07904053      741.12646484
  2591      1752.49145508        0.52809304      740.80175781      740.62646484
  2592      1755.82519531        0.52660328      739.91204834      740.12640381
  2593      1759.15881348        0.52535182      739.69714355      739.62634277
  2594      1762.49316406        0.52475590      739.06835938      739.12622070
  2595      1765.82629395        0.52401108      738.61840820      738.62622070
  2596      1769.16076660        0.52124012      738.17053223      738.12609863
  2597      1772.49450684        0.52079320      737.56304932      737.62603760
  2598      1775.82849121        0.51969075      737.23730469      737.12591553
  2599      1779.16186523        0.51751560      736.57440186      736.62591553
  2600      1782.49609375        0.51694953      736.04528809      736.12579346
  2601      1785.82946777        0.51543003      735.57861328      735.62579346
  2602      1789.16259766        0.51405948      735.21002197      735.12579346
  2603      1792.49597168        0.51289737      734.74267578      734.62579346
  2604      1795.82958984        0.51197374      734.07025146      734.12573242
  2605      1799.16296387        0.51048398      733.66772461      733.62573242
  2606      1802.49682617        0.50881547      733.00292969      733.12567139
  2607      1805.82995605        0.50816000      732.60742188      732.62567139
  2608      1809.16430664        0.50634241      732.11499023      732.12554932
  2609      1812.49743652        0.50568688      731.71533203      731.62554932
  2610      1815.83093262        0.50395882      731.25360107      731.12554932
  2611      1819.16503906        0.50252861      730.63580322      730.62542725
  2612      1822.49926758        0.50118786      730.19982910      730.12530518
  2613      1825.83239746        0.49957892      729.53967285      729.62530518
  2614      1829.16674805        0.49862546      729.13037109      729.12518311
  2615      1832.50036621        0.49761245      728.47430420      728.62512207
  2616      1835.83374023        0.49624181      728.21905518      728.12512207
  2617      1839.16699219        0.49427524      727.55279541      727.62512207
  2618      1842.50073242        0.49400714      727.13397217      727.12506104
  2619      1845.83422852        0.49227908      726.57989502      726.62506104
  2620      1849.16748047        0.49090844      726.16302490      726.12506104
  2621      1852.50134277        0.48980600      725.58129883      725.62500000
  2622      1855.83544922        0.48849502      724.92993164      725.12487793
  2623      1859.16906738        0.48691583      724.78607178      724.62481689
  2624      1862.50256348        0.48637953      724.15478516      724.12481689
  2625      1865.83569336        0.48435342      723.53973389      723.62481689
  2626      1869.16931152        0.48313186      723.05218506      723.12481689
  2627      1872.50292969        0.48253593      722.73767090      722.62475586
  2628      1875.83642578        0.48045024      722.09204102      722.12475586
  2629      1879.16979980        0.47913927      721.57055664      721.62469482
  2630      1882.50341797        0.47782826      721.09326172      721.12469482
  2631      1885.83703613        0.47753030      720.59765625      720.62463379
  2632      1889.17041016        0.47583202      720.03045654      720.12463379
  2633      1892.50366211        0.47446138      719.63311768      719.62463379
  2634      1895.83703613        0.47273323      719.04022217      719.12463379
  2635      1899.17041016        0.47201818      718.62664795      718.62463379
  2636      1902.50451660        0.47121370      718.10882568      718.12451172
  2637      1905.83776855        0.46918768      717.58813477      717.62451172
  2638      1909.17187500        0.46781704      717.17779541      717.12438965
  2639      1912.50561523        0.46722111      716.63873291      716.62432861
  2640      1915.83996582        0.46516529      716.16131592      716.12420654
  2641      1919.17333984        0.46391386      715.51135254      715.62420654
  2642      1922.50756836        0.46319881      715.11981201      715.12408447
  2643      1925.84094238        0.46105349      714.59857178      714.62402344
  2644      1929.17529297        0.46024901      713.95458984      714.12390137
  2645      1932.50891113        0.45923600      713.63269043      713.62384033
  2646      1935.84277344        0.45756748      713.04852295      713.12377930
  2647      1939.17614746        0.45592865      712.50567627      712.62377930
  2648      1942.50952148        0.45524338      712.05236816      712.12377930
  2649      1945.84265137        0.45384306      711.63647461      711.62377930
  2650      1949.17614746        0.45229366      711.11242676      711.12377930
  2651      1952.50939941        0.45163816      710.58477783      710.62377930
  2652      1955.84375000        0.45050585      710.12561035      710.12365723
  2653      1959.17700195        0.44874793      709.58734131      709.62359619
  2654      1962.51013184        0.44764557      709.22100830      709.12365723
  2655      1965.84375000        0.44612595      708.73767090      708.62365723
  2656      1969.17773438        0.44520235      708.12420654      708.12353516
  2657      1972.51159668        0.44427869      707.60723877      707.62347412
  2658      1975.84558105        0.44243139      706.91967773      707.12335205
  2659      1979.17932129        0.44097143      706.55725098      706.62329102
  2660      1982.51293945        0.43989876      705.99926758      706.12322998
  2661      1985.84692383        0.43882611      705.61828613      705.62316895
  2662      1989.18103027        0.43763432      705.16052246      705.12304688
  2663      1992.51525879        0.43626368      704.63104248      704.62292480
  2664      1995.84912109        0.43432710      704.17303467      704.12280273
  2665      1999.18298340        0.43435678      703.51196289      703.62274170
  2666      2002.51696777        0.43274781      703.16412354      703.12261963
  2667      2005.85034180        0.43110919      702.55731201      702.62261963
  2668      2009.18371582        0.42988753      702.07208252      702.12261963
  2669      2012.51696777        0.42881486      701.63415527      701.62261963
  2670      2015.85144043        0.42702714      700.97680664      701.12249756
  2671      2019.18518066        0.42613333      700.65692139      700.62243652
  2672      2022.51867676        0.42553741      700.15002441      700.12237549
  2673      2025.85253906        0.42348149      699.60211182      699.62231445
  2674      2029.18603516        0.42199174      699.13482666      699.12225342
  2675      2032.51953125        0.42151502      698.56109619      698.62225342
  2676      2035.85339355        0.42023382      697.96765137      698.12219238
  2677      2039.18762207        0.41853553      697.66015625      697.62207031
  2678      2042.52111816        0.41749263      697.17059326      697.12200928
  2679      2045.85498047        0.41644976      696.66381836      696.62194824
  2680      2049.18896484        0.41522819      696.30035400      696.12182617
  2681      2052.52270508        0.41355968      695.67150879      695.62176514
  2682      2055.85620117        0.41251680      694.98870850      695.12176514
  2683      2059.19018555        0.41129524      694.61425781      694.62164307
  2684      2062.52416992        0.41007358      694.13403320      694.12158203
  2685      2065.85742188        0.40846464      693.60412598      693.62158203
  2686      2069.19091797        0.40679613      693.06646729      693.12158203
  2687      2072.52392578        0.40667692      692.61651611      692.62158203
  2688      2075.85742188        0.40405494      692.04370117      692.12158203
  2689      2079.19067383        0.40357822      691.51422119      691.62158203
  2690      2082.52416992        0.40170109      691.13360596      691.12158203
  2691      2085.85766602        0.40137333      690.71807861      690.62152100
  2692      2089.19116211        0.39928764      690.11950684      690.12152100
  2693      2092.52441406        0.39884070      689.69042969      689.62152100
  2694      2095.85839844        0.39744037      689.12353516      689.12145996
  2695      2099.19140625        0.39577183      688.62329102      688.62145996
  2696      2102.52539063        0.39455020      687.99774170      688.12133789
  2697      2105.85913086        0.39288172      687.67938232      687.62133789
  2698      2109.19238281        0.39207724      687.03662109      687.12133789
  2699      2112.52612305        0.39076620      686.60089111      686.62121582
  2700      2115.85961914        0.38996172      686.14495850      686.12127686
  2701      2119.19311523        0.38844216      685.77795410      685.62121582
  2702      2122.52734375        0.38698217      685.01599121      685.12109375
  2703      2125.86059570        0.38582018      684.70788574      684.62109375
  2704      2129.19409180        0.38450921      684.14208984      684.12109375
  2705      2132.52807617        0.38373449      683.65325928      683.62097168
  2706      2135.86230469        0.38230431      683.19757080      683.12084961
  2707      2139.19555664        0.38161904      682.62011719      682.62084961
  2708      2142.52905273        0.37950358      682.08319092      682.12084961
  2709      2145.86303711        0.37875867      681.63946533      681.62072754
  2710      2149.19702148        0.37747747      681.12585449      681.12066650
  2711      2152.53076172        0.37580895      680.51245117      680.62060547
  2712      2155.86401367        0.37491509      680.22943115      680.12060547
  2713      2159.19824219        0.37351471      679.69421387      679.62048340
  2714      2162.53125000        0.37223351      679.28649902      679.12048340
  2715      2165.86474609        0.37035638      678.57849121      678.62048340
  2716      2169.19848633        0.36937314      678.26684570      678.12042236
  2717      2172.53173828        0.36868787      677.63140869      677.62042236
  2718      2175.86572266        0.36675116      677.19708252      677.12036133
  2719      2179.19873047        0.36621484      676.66967773      676.62036133
  2720      2182.53222656        0.36409935      676.15240479      676.12036133
  2721      2185.86572266        0.36329490      675.54284668      675.62036133
  2722      2189.19897461        0.36186469      675.12036133      675.12036133
  2723      2192.53271484        0.36103046      674.55212402      674.62030029
  2724      2195.86669922        0.35912353      674.17010498      674.12017822
  2725      2199.19995117        0.35852763      673.65948486      673.62017822
  2726      2202.53393555        0.35700807      673.06719971      673.12011719
  2727      2205.86767578        0.35525012      672.67437744      672.62005615
  2728      2209.20092773        0.35468403      672.05566406      672.12005615
  2729      2212.53491211        0.35325381      671.57672119      671.61993408
  2730      2215.86840820        0.35152572      671.22857666      671.11993408
  2731      2219.20214844        0.35066164      670.49017334      670.61987305
  2732      2222.53540039        0.34961882      670.16558838      670.11987305
  2733      2225.86938477        0.34824821      669.58489990      669.61981201
  2734      2229.20361328        0.34660947      669.10052490      669.11968994
  2735      2232.53710938        0.34511971      668.52331543      668.61956787
  2736      2235.87036133        0.34503031      668.20568848      668.11962891
  2737      2239.20385742        0.34243810      667.58166504      667.61962891
  2738      2242.53784180        0.34214020      667.28961182      667.11950684
  2739      2245.87133789        0.34050140      666.61248779      666.61950684
  2740      2249.20458984        0.33927986      666.14916992      666.11950684
  2741      2252.53808594        0.33865413      665.54913330      665.61950684
  2742      2255.87182617        0.33695576      664.99627686      665.11944580
  2743      2259.20483398        0.33558521      664.68518066      664.61944580
  2744      2262.53930664        0.33445299      664.22308350      664.11932373
  2745      2265.87304688        0.33263546      663.49737549      663.61926270
  2746      2269.20654297        0.33147341      663.17260742      663.11920166
  2747      2272.54003906        0.33028162      662.64086914      662.61920166
  2748      2275.87377930        0.32911962      662.08660889      662.11914063
  2749      2279.20751953        0.32757023      661.72723389      661.61907959
  2750      2282.54174805        0.32754046      661.19805908      661.11895752
  2751      2285.87475586        0.32566330      660.74401855      660.61895752
  2752      2289.20898438        0.32429278      660.18444824      660.11883545
  2753      2292.54272461        0.32360744      659.60260010      659.61877441
  2754      2295.87622070        0.32176015      659.01544189      659.11877441
  2755      2299.21044922        0.32038960      658.58422852      658.61865234
  2756      2302.54443359        0.31970426      658.12182617      658.11853027
  2757      2305.87792969        0.31776756      657.57757568      657.61853027
  2758      2309.21093750        0.31699291      656.99078369      657.11853027
  2759      2312.54467773        0.31562230      656.65405273      656.61846924
  2760      2315.87890625        0.31443051      656.22515869      656.11834717
  2761      2319.21240234        0.31291088      655.54760742      655.61828613
  2762      2322.54663086        0.31213623      655.18548584      655.11822510
  2763      2325.87988281        0.31124237      654.52423096      654.61822510
  2764      2329.21411133        0.31005061      654.24957275      654.11810303
  2765      2332.54809570        0.30793509      653.51110840      653.61798096
  2766      2335.88159180        0.30733919      653.14312744      653.11798096
  2767      2339.21459961        0.30576003      652.70074463      652.61798096
  2768      2342.54833984        0.30444905      652.13037109      652.11791992
  2769      2345.88256836        0.30325723      651.67211914      651.61779785
  2770      2349.21606445        0.30242297      651.03387451      651.11779785
  2771      2352.54956055        0.30012870      650.60198975      650.61773682
  2772      2355.88403320        0.29932421      650.02624512      650.11761475
