 C:\WinTA100\DIL805.PRO\Data\Quenching\01_Isabelle_QP_Q328oC_P350oC_t10s_09.28.17.PAR
                Time - rel. Change in Length /  Temperature  /  Nominal Temperature 
                  s                %                    °C                    °C
   447        22.41105461        0.27405801      223.98043823      224.09873962
   448        22.46120644        0.27478039      224.66456604      224.60009766
   449        22.51130676        0.27488741      225.22225952      225.10110474
   450        22.56141853        0.27566335      225.47616577      225.60229492
   451        22.61156082        0.27638575      226.19622803      226.10375977
   452        22.66169739        0.27724192      226.60835266      226.60505676
   453        22.71179962        0.27820513      226.96539307      227.10615540
   454        22.76186371        0.27927536      227.48806763      227.60681152
   455        22.81198692        0.28029206      228.15075684      228.10803223
   456        22.86207390        0.28096095      228.70446777      228.60867310
   457        22.91220856        0.28149608      228.98063660      229.11024475
   458        22.96233368        0.28195092      229.61077881      229.61134338
   459        23.01249886        0.28253955      230.01942444      230.11283875
   460        23.06265068        0.28326195      230.61419678      230.61459351
   461        23.11272812        0.28441244      231.20021057      231.11529541
   462        23.16285515        0.28545591      231.63241577      231.61648560
   463        23.21295738        0.28609803      232.10540771      232.11775208
   464        23.26310730        0.28620508      232.54039001      232.61909485
   465        23.31320953        0.28716826      233.23130798      233.12014771
   466        23.36339951        0.28746256      233.63960266      233.62207031
   467        23.41350174        0.28885385      234.21971130      234.12300110
   468        23.46369553        0.28941575      234.54269409      234.62500000
   469        23.51385307        0.29091406      235.09089661      235.12658691
   470        23.56402206        0.29177025      235.65029907      235.62832642
   471        23.61417198        0.29209131      236.07228088      236.12973022
   472        23.66426849        0.29219836      236.70130920      236.63053894
   473        23.71441078        0.29316154      237.02560425      237.13209534
   474        23.76454544        0.29401773      237.82760620      237.63343811
   475        23.81470680        0.29498091      238.37203979      238.13519287
   476        23.86480331        0.29634547      238.63629150      238.63615417
   477        23.91494370        0.29680029      239.14376831      239.13758850
   478        23.96509171        0.29696083      239.73553467      239.63899231
   479        24.01524162        0.29787055      240.21537781      240.14051819
   480        24.06535339        0.29811132      240.60641479      240.64161682
   481        24.11551476        0.29944912      241.23698425      241.14332581
   482        24.16567612        0.30046582      241.80990601      241.64474487
   483        24.21584320        0.30129525      241.98385620      242.14651489
   484        24.26596451        0.30223170      242.77078247      242.64784241
   485        24.31611061        0.30306110      243.16712952      243.14909363
   486        24.36625671        0.30335543      243.58937073      243.65060425
   487        24.41639519        0.30447918      244.12574768      244.15205383
   488        24.46649551        0.30490726      244.65879822      244.65293884
   489        24.51652718        0.30611125      245.08668518      245.15332031
   490        24.56664276        0.30694067      245.53001404      245.65454102
   491        24.61680222        0.30777010      246.16197205      246.15612793
