 C:\WinTA100\DIL805.PRO\Data\Quenching\03_Isabelle_CQ60_Homogeneizado_30min_II_09.01.17.PAR
                Time - rel. Change in Length /  Temperature  /  Nominal Temperature 
                  s                %                    °C                    °C
    96         2.40797210       -0.00148333       24.72085762       24.06784058
    97         2.43301892       -0.00150982       24.76218987       24.31830978
    98         2.45812511       -0.00198661       24.72584724       24.56931114
    99         2.48318410       -0.00132440       24.87798309       24.81996155
   100         2.50821304       -0.00156280       24.90773392       25.07013130
   101         2.53331089       -0.00169524       25.00589180       25.32118988
   102         2.55839205       -0.00153631       25.06985092       25.57199860
   103         2.58347297       -0.00153631       25.16302872       25.82275009
   104         2.60858202       -0.00140387       25.21985817       26.07373047
   105         2.63365006       -0.00145684       25.41013718       26.32458878
   106         2.65872502       -0.00071518       25.54911041       26.57542992
   107         2.68386197       -0.00119196       25.71623802       26.82661057
   108         2.70889997       -0.00066220       25.92024040       27.07715034
   109         2.73398209       -0.00090059       26.24401855       27.32786942
   110         2.75906801        0.00002649       26.65660667       27.57863998
   111         2.78414989        0.00015893       27.01305771       27.82962036
   112         2.80921507        0.00010595       27.38541031       28.08028030
   113         2.83429408        0.00098006       27.80913353       28.33087921
   114         2.85934711        0.00124494       28.12144470       28.58155060
   115         2.88443589        0.00150982       28.59607887       28.83250046
   116         2.90957904        0.00193363       28.92665863       29.08386993
   117         2.93463302        0.00243690       29.30916023       29.33442116
   118         2.95971203        0.00262232       29.54596519       29.58526993
   119         2.98477602        0.00238393       29.81258965       29.83591080
   120         3.00985003        0.00386726       30.12171173       30.08658981
   121         3.03489089        0.00301964       30.41548347       30.33704948
   122         3.05995202        0.00418512       30.64847755       30.58765030
   123         3.08498693        0.00410565       30.96045494       30.83797836
   124         3.11000896        0.00516518       31.21718025       31.08823013
   125         3.13516998        0.00497976       31.52637672       31.33970070
   126         3.16020203        0.00505922       31.61096954       31.59003067
   127         3.18526411        0.00588035       31.95996094       31.84074020
   128         3.21034503        0.00577440       32.15553284       32.09160995
   129         3.23539090        0.00625119       32.33559036       32.34199905
   130         3.26157808        0.00609226       32.67803574       32.60390091
   131         3.28664494        0.00701934       33.03215790       32.85461807
   132         3.31172490        0.00699285       33.26472855       33.10519791
   133         3.33680606        0.00739017       33.43822479       33.35614777
   134         3.36189890        0.00770803       33.65813828       33.60704803
   135         3.38698101        0.00778749       33.90788269       33.85755157
   136         3.41202807        0.00842321       34.13282013       34.10836029
   137         3.43709302        0.00844970       34.41845322       34.35900879
   138         3.46219397        0.00964166       34.55720520       34.61001968
   139         3.48725009        0.00919136       34.82467270       34.86059952
   140         3.51237106        0.00942976       35.20269394       35.11183167
   141         3.53747511        0.01025089       35.25965881       35.36294937
   142         3.56255698        0.01048928       35.55752945       35.61362839
   143         3.58762789        0.01088660       35.76592255       35.86441803
   144         3.61273789        0.01064821       36.04848862       36.11542130
   145         3.63783503        0.01149583       36.28780365       36.36632919
   146         3.66298795        0.01120446       36.54218292       36.61793900
   147         3.68807101        0.01154880       36.73456955       36.86891174
   148         3.71314192        0.01247589       37.14044189       37.11946106
   149         3.73821306        0.01239642       37.33678436       37.37017059
   150         3.76325893        0.01284672       37.52922821       37.62070847
   151         3.78833508        0.01297916       37.89745331       37.87128067
   152         3.81335211        0.01395922       38.17351913       38.12160873
   153         3.83841991        0.01358838       38.38918304       38.37229156
   154         3.86349607        0.01470088       38.56844711       38.62294006
   155         3.88860297        0.01454196       38.82954407       38.87409973
   156         3.91365004        0.01493928       39.13927841       39.12458801
   157         3.93874407        0.01528362       39.42205811       39.37537766
   158         3.96380711        0.01507172       39.76824951       39.62615204
   159         3.98884392        0.01634314       39.88232040       39.87648010
   160         4.01392984        0.01613124       40.08486176       40.12720108
   161         4.03897285        0.01676695       40.37089920       40.37778854
   162         4.06409788        0.01679344       40.65927505       40.62904739
   163         4.08914185        0.01716428       40.87562180       40.87934875
   164         4.11426783        0.01774701       41.13739014       41.13069916
   165         4.13940001        0.01777350       41.40472031       41.38216019
   166         4.16447592        0.01885951       41.63611984       41.63283920
   167         4.18947983        0.01825029       41.87969208       41.88288116
   168         4.21463203        0.01843570       42.16530609       42.13439941
   169         4.23972797        0.01912439       42.39833450       42.38527679
   170         4.26477718        0.01944225       42.70726013       42.63554001
   171         4.28981590        0.01989255       42.94588089       42.88621902
   172         4.31488991        0.02002499       43.00345612       43.13703156
   173         4.33996391        0.02089909       43.35947800       43.38763428
   174         4.36500978        0.02084612       43.73106003       43.63819122
   175         4.39008093        0.02119046       44.00300980       43.88883972
   176         4.41516209        0.02137588       44.17245865       44.13951111
   177         4.44027615        0.02172022       44.38679504       44.39081192
   178         4.46536303        0.02177320       44.59564209       44.64167023
   179         4.49043798        0.02240891       44.92082214       44.89229202
   180         4.51549816        0.02312409       44.99560165       45.14295959
   181         4.54060698        0.02304463       45.37000656       45.39414978
   182         4.56569099        0.02346844       45.68412399       45.64485931
   183         4.59073210        0.02365385       45.95117950       45.89546204
   184         4.61586809        0.02431606       46.21377945       46.14675903
   185         4.64090300        0.02460743       46.42823410       46.39701843
   186         4.66597891        0.02439552       46.66651154       46.64786911
   187         4.69106483        0.02587885       46.94025040       46.89884186
   188         4.71615887        0.02566695       47.22618484       47.14970016
   189         4.74127007        0.02579939       47.46396637       47.40077972
   190         4.76637077        0.02601129       47.72056198       47.65180969
   191         4.79145002        0.02651457       47.78323364       47.90260696
